iter	Passed	Remaining
0	421	505314
1	824	493684
2	1214	484622
3	1638	489990
4	2045	488771
5	2466	490885
6	2885	491695
7	3298	491530
8	3707	490603
9	4116	489862
10	4524	489092
11	4950	490085
12	5372	490587
13	5799	491324
14	6199	489769
15	6619	489809
16	7056	491064
17	7519	493755
18	7975	495722
19	8383	494644
20	8791	493579
21	9208	493078
22	9624	492543
23	10058	492874
24	10479	492548
25	10894	491922
26	11315	491578
27	11729	490970
28	12137	490104
29	12552	489563
30	12971	489148
31	13389	488701
32	13809	488343
33	14215	487506
34	14632	487050
35	15028	485926
36	15447	485551
37	15858	484947
38	16255	483900
39	16666	483316
40	17076	482728
41	17471	481722
42	17906	481813
43	18306	480958
44	18716	480390
45	19131	479940
46	19535	479230
47	19930	478327
48	20330	477555
49	20746	477167
50	21141	476314
51	21544	475625
52	21963	475325
53	22373	474811
54	22792	474500
55	23209	474140
56	23609	473434
57	24018	472909
58	24424	472349
59	24807	471351
60	25196	470477
61	25596	469821
62	25985	468971
63	26395	468515
64	26784	467700
65	27177	466954
66	27582	466431
67	27993	466014
68	28400	465528
69	28804	464993
70	29213	464536
71	29627	464161
72	30036	463712
73	30467	463595
74	30865	462981
75	31252	462202
76	31657	461706
77	32055	461107
78	32464	460663
79	32881	460338
80	33292	459932
81	33702	459507
82	34093	458821
83	34509	458488
84	34914	458002
85	35338	457759
86	35757	457443
87	36182	457213
88	36591	456779
89	37009	456445
90	37425	456092
91	37830	455606
92	38257	455389
93	38674	455039
94	39080	454572
95	39489	454126
96	39914	453869
97	40351	453753
98	40762	453325
99	41182	453005
100	41599	452648
101	42002	452148
102	42426	451865
103	42836	451433
104	43244	450976
105	43643	450429
106	44067	450149
107	44468	449621
108	44855	448964
109	45252	448407
110	45654	447912
111	46041	447264
112	46446	446786
113	46839	446204
114	47229	445601
115	47630	445097
116	48039	444671
117	48439	444165
118	48863	443879
119	49310	443797
120	49732	443482
121	50138	443029
122	50560	442712
123	50965	442249
124	51351	441626
125	51758	441175
126	52156	440657
127	52587	440420
128	52983	439889
129	53387	439422
130	53770	438785
131	54168	438268
132	54546	437606
133	54952	437158
134	55360	436733
135	55733	436035
136	56124	435474
137	56517	434940
138	56922	434491
139	57331	434078
140	57729	433583
141	58147	433237
142	58549	432771
143	58953	432326
144	59365	431938
145	59779	431559
146	60169	431012
147	60566	430514
148	60963	430020
149	61385	429696
150	61798	429315
151	62194	428815
152	62579	428238
153	62966	427679
154	63347	427081
155	63759	426696
156	64138	426094
