iter	Logloss
0	0.6746188842
1	0.6575045544
2	0.6416531873
3	0.6269863168
4	0.6135215415
5	0.6009823305
6	0.5895563897
7	0.5793701917
8	0.5694443477
9	0.5609772218
10	0.5524033863
11	0.5451357927
12	0.5379529519
13	0.531427836
14	0.5254255583
15	0.519404779
16	0.5142364932
17	0.5095973194
18	0.5053281609
19	0.5009784198
20	0.4971880939
21	0.4931798319
22	0.4896846302
23	0.4865292354
24	0.4834104869
25	0.4805660383
26	0.477891293
27	0.4755465128
28	0.4730032671
29	0.4709806246
30	0.4688588704
31	0.4668738119
32	0.4649839403
33	0.4630357152
34	0.4614780184
35	0.4597725656
36	0.4582843042
37	0.4569341347
38	0.4556986917
39	0.4542482054
40	0.4529061156
41	0.4518187393
42	0.4507615558
43	0.449854894
44	0.4488544626
45	0.4479801506
46	0.447166701
47	0.4463441754
48	0.4454104621
49	0.4447052459
50	0.4440261699
51	0.4432386289
52	0.4425955863
53	0.4420393127
54	0.441516044
55	0.4410471318
56	0.4404688556
57	0.4400145147
58	0.4395127138
59	0.4391363903
60	0.4387240283
61	0.4382471132
62	0.4378649046
63	0.4374746531
64	0.4370575506
65	0.4366933425
66	0.4363374569
67	0.4360279892
68	0.4357292375
69	0.4354277901
70	0.4351826323
71	0.4348923278
72	0.4346044153
73	0.4343440521
74	0.4340762153
75	0.4338539544
76	0.4336069843
77	0.4333726683
78	0.4331561155
79	0.4329828772
80	0.4327057167
81	0.4324316044
82	0.432276904
83	0.4321040447
84	0.4318594279
85	0.4316822717
86	0.4314492616
87	0.4313078695
88	0.4311567785
89	0.4309895936
90	0.4308627545
91	0.4307235126
92	0.4306131352
93	0.4304424182
94	0.4302992138
95	0.4301140895
96	0.4299699741
97	0.4298629606
98	0.4297331509
99	0.4296259991
100	0.4295011899
101	0.4293774719
102	0.4292201187
103	0.4290782001
104	0.4289332381
105	0.4288243729
106	0.4286876463
107	0.4285896425
108	0.4284830185
109	0.4283400182
110	0.4282243756
111	0.4281408246
112	0.4280404307
113	0.4279462959
114	0.4278360022
115	0.427747659
116	0.4276373779
117	0.4275638427
118	0.4274678393
119	0.4273752912
120	0.4272885265
121	0.4271985151
122	0.4271260968
123	0.4270327567
124	0.4269677083
125	0.4268958658
126	0.4268104635
127	0.4267366835
128	0.4266578675
129	0.4265741463
130	0.4265103048
131	0.4264439435
132	0.426383628
133	0.4263279784
134	0.4262614279
135	0.426196523
136	0.4261435861
137	0.4260892178
138	0.4260274249
139	0.4259449618
140	0.4258766553
141	0.425773189
142	0.4256944435
143	0.4256193019
144	0.4255515192
145	0.4255021944
146	0.4254547617
147	0.4253884832
148	0.4253286851
149	0.4252597658
150	0.4252010638
151	0.4251346101
152	0.4250751505
153	0.4250163483
154	0.4249666461
155	0.4249176654
156	0.4248433026
157	0.4247835915
158	0.424738301
159	0.4246932999
160	0.4246499168
161	0.4245972278
162	0.4245455228
163	0.4244884136
164	0.4244309549
165	0.4243964015
166	0.4243527434
167	0.4243095637
168	0.4242667661
169	0.4242172547
170	0.4241570876
171	0.4240941771
172	0.4240451159
173	0.4239943021
174	0.4239294174
175	0.4238850217
176	0.42383281
177	0.4237906118
178	0.42374422
179	0.4236924524
180	0.4236388708
181	0.4235872886
182	0.4235316741
183	0.423483962
184	0.4234457604
185	0.4233955045
186	0.4233492272
187	0.4232955842
188	0.423237269
189	0.4231965128
190	0.423162739
191	0.4231215417
192	0.4230662056
193	0.4230109875
194	0.4229607222
195	0.4229157353
196	0.4228685705
197	0.4228205793
198	0.4227674346
199	0.4227146131
200	0.4226749297
201	0.4226304592
202	0.4225911687
203	0.4225459106
204	0.4225082456
205	0.4224578944
206	0.4224161381
207	0.4223652354
208	0.422325816
209	0.4222866659
210	0.422242267
211	0.4221988342
212	0.4221648531
213	0.4221169035
214	0.4220754965
215	0.4220271497
216	0.421979617
217	0.4219414333
218	0.4219026395
219	0.4218549949
220	0.4218257682
221	0.4217743655
222	0.4217436056
223	0.4217042833
224	0.4216621346
225	0.4216272084
226	0.4215886655
227	0.4215514479
228	0.421514414
229	0.4214742816
230	0.4214420345
231	0.4213989579
232	0.4213602842
233	0.4213272742
234	0.4212879692
235	0.4212295146
236	0.4211942204
237	0.4211545587
238	0.4211234618
239	0.4210802175
240	0.4210460582
241	0.4210139491
242	0.4209854299
243	0.4209453391
244	0.4209052345
245	0.4208727125
246	0.4208420409
247	0.4208140557
248	0.4207857941
249	0.4207556799
250	0.4207259102
251	0.4206775277
252	0.4206351368
253	0.4206031062
254	0.4205726217
255	0.4205420008
256	0.4205070402
257	0.4204716294
258	0.4204404152
259	0.4203997266
260	0.4203558542
261	0.4203198415
262	0.4202862629
263	0.4202612769
264	0.4202350898
265	0.4202018051
266	0.420168704
267	0.420133039
268	0.4200933105
269	0.4200569618
270	0.420022796
271	0.4199848461
272	0.4199592548
273	0.4199238603
274	0.4198913702
275	0.4198620884
276	0.4198341054
277	0.4198097696
278	0.4197794521
279	0.4197512605
280	0.4197112606
281	0.4196794108
282	0.4196558475
283	0.4196292147
284	0.4195950423
285	0.4195673598
286	0.419529502
287	0.419493725
288	0.4194602763
289	0.4194335693
290	0.4194069823
291	0.4193766661
292	0.4193413811
293	0.4193167727
294	0.4192901542
295	0.4192534299
296	0.4192316284
297	0.4192000982
298	0.4191689525
299	0.4191379413
300	0.4191088077
301	0.4190788689
302	0.4190505799
303	0.4190277128
304	0.4189926716
305	0.4189594895
306	0.4189343365
307	0.4188973818
308	0.4188738634
309	0.4188342484
310	0.4188162469
311	0.418781779
312	0.4187457553
313	0.4187132708
314	0.418680286
315	0.4186492614
316	0.4186225591
317	0.4185894108
318	0.4185657711
319	0.4185345352
320	0.4185106761
321	0.4184817226
322	0.4184510956
323	0.4184092467
324	0.4183726991
325	0.4183486559
326	0.4183053366
327	0.4182800251
328	0.4182498571
329	0.4182199731
330	0.4181891149
331	0.4181592873
332	0.4181348911
333	0.4181080427
334	0.4180805555
335	0.4180520007
336	0.4180205437
337	0.4179928063
338	0.4179712257
339	0.417949132
340	0.4179223062
341	0.4178792867
342	0.4178460047
343	0.4178219381
344	0.4177993733
345	0.4177698238
346	0.4177395411
347	0.4177046088
348	0.4176838806
349	0.4176617075
350	0.4176330233
351	0.4176086826
352	0.4175840308
353	0.4175510961
354	0.4175241885
355	0.4174993031
356	0.4174755691
357	0.417447966
358	0.4174225045
359	0.4174017072
360	0.4173783865
361	0.4173523095
362	0.4173278143
363	0.4173012832
364	0.4172747342
365	0.4172498361
366	0.41721334
367	0.4171844902
368	0.417162775
369	0.4171320041
370	0.4171054031
371	0.4170787824
372	0.4170458427
373	0.4170150411
374	0.4169909551
375	0.4169679524
376	0.4169368491
377	0.4169059035
378	0.4168757241
379	0.4168458382
380	0.4168208501
381	0.4167933422
382	0.4167685932
383	0.4167357908
384	0.4167068258
385	0.4166850423
386	0.4166517292
387	0.4166247441
388	0.4165914069
389	0.4165699489
390	0.4165490048
391	0.4165240308
392	0.4165027503
393	0.4164803579
394	0.4164441847
395	0.416414664
396	0.4163853999
397	0.4163500326
398	0.4163158771
399	0.4162909583
400	0.4162729106
401	0.4162485872
402	0.4162230744
403	0.4161968065
404	0.4161687223
405	0.4161340496
406	0.4161033287
407	0.4160817711
408	0.4160601323
409	0.4160387322
410	0.41601647
411	0.4159854147
412	0.4159625704
413	0.4159387265
414	0.4159069022
415	0.4158741847
416	0.4158534572
417	0.4158243616
418	0.4158053899
419	0.4157788425
420	0.415755372
421	0.4157291971
422	0.4157015809
423	0.4156724481
424	0.4156517045
425	0.4156327105
426	0.4156107022
427	0.4155813832
428	0.4155427421
429	0.4155180084
430	0.4154837623
431	0.4154588554
432	0.4154396221
433	0.4154130505
434	0.4153803545
435	0.4153598561
436	0.4153372113
437	0.4153135212
438	0.4152805408
439	0.4152536883
440	0.4152325691
441	0.4152010309
442	0.415171779
443	0.4151461124
444	0.4151192833
445	0.4150895807
446	0.4150620533
447	0.41503906
448	0.4150167152
449	0.4150004824
450	0.4149721043
451	0.4149537229
452	0.414921846
453	0.414893621
454	0.4148727898
455	0.4148514392
456	0.4148296442
457	0.4148052256
458	0.4147737728
459	0.41474349
460	0.4147215867
461	0.4146905295
462	0.4146653414
463	0.414644456
464	0.4146179791
465	0.414595093
466	0.4145793177
467	0.4145526592
468	0.4145232371
469	0.4145040685
470	0.4144795065
471	0.4144578934
472	0.4144278533
473	0.4144030063
474	0.4143782692
475	0.4143542555
476	0.4143212253
477	0.4142921276
478	0.4142690229
479	0.4142417407
480	0.4142191561
481	0.4141967217
482	0.4141804777
483	0.414159825
484	0.4141397179
485	0.4141264636
486	0.4141019157
487	0.4140720841
488	0.4140543467
489	0.4140249551
490	0.4140003664
491	0.4139749601
492	0.4139549768
493	0.413928105
494	0.41389783
495	0.413872532
496	0.4138382868
497	0.4138145758
498	0.4137846421
499	0.4137623743
