iter	Passed	Remaining
0	161	80440
1	238	59450
2	316	52371
3	410	50935
4	488	48334
5	570	46971
6	647	45608
7	759	46681
8	867	47316
9	982	48158
10	1060	47154
11	1181	48029
12	1289	48295
13	1395	48443
14	1473	47655
15	1556	47089
16	1636	46505
17	1717	45980
18	1801	45601
19	1884	45223
20	1966	44865
21	2050	44551
22	2130	44194
23	2219	44014
24	2296	43635
25	2373	43273
26	2460	43100
27	2539	42804
28	2621	42575
29	2699	42290
30	2776	42004
31	2861	41842
32	2939	41595
33	3027	41488
34	3104	41239
35	3188	41095
36	3269	40910
37	3345	40677
38	3429	40542
39	3518	40459
40	3595	40250
41	3676	40094
42	3754	39906
43	3839	39794
44	3917	39614
45	3994	39426
46	4079	39320
47	4164	39211
48	4246	39088
49	4324	38918
50	4403	38766
51	4486	38655
52	4566	38515
53	4648	38395
54	4727	38249
55	4808	38126
56	4890	38007
57	4968	37862
58	5054	37778
59	5133	37643
60	5215	37534
61	5296	37417
62	5377	37302
63	5462	37214
64	5540	37077
65	5620	36958
66	5700	36840
67	5780	36726
68	5859	36601
69	5942	36504
70	6019	36371
71	6107	36303
72	6186	36188
73	6267	36080
74	6346	35964
75	6432	35888
76	6515	35792
77	6594	35677
78	6678	35588
79	6761	35497
80	6852	35448
81	6935	35354
82	7013	35235
83	7105	35186
84	7184	35079
85	7276	35031
86	7360	34939
87	7444	34855
88	7529	34771
89	7610	34670
90	7688	34557
91	7775	34481
92	7854	34373
93	7962	34389
94	8047	34305
95	8135	34238
96	8216	34137
97	8297	34038
98	8379	33939
99	8459	33839
100	8542	33747
101	8621	33639
102	8702	33541
103	8788	33463
104	8866	33353
105	8949	33264
106	9040	33206
107	9119	33100
108	9207	33027
109	9286	32925
110	9368	32831
111	9449	32735
112	9526	32625
113	9608	32533
114	9688	32433
115	9778	32370
116	9855	32263
117	9935	32165
118	10017	32073
119	10097	31975
120	10185	31904
121	10262	31796
122	10344	31706
123	10429	31626
124	10507	31521
125	10589	31431
126	10666	31326
127	10750	31242
128	10831	31151
129	10912	31058
130	10992	30964
131	11072	30868
132	11148	30764
133	11235	30687
134	11314	30591
135	11397	30505
136	11479	30416
137	11560	30325
138	11642	30236
139	11722	30143
140	11806	30060
141	11885	29964
142	11992	29939
143	12094	29899
144	12181	29823
145	12271	29753
146	12354	29666
147	12451	29614
148	12543	29548
149	12644	29504
150	12727	29416
151	12812	29334
152	12894	29244
153	12984	29173
154	13068	29087
155	13151	29000
156	13233	28912
157	13320	28832
158	13400	28738
159	13484	28654
160	13564	28562
161	13644	28467
162	13728	28383
163	13814	28303
164	13899	28220
165	13976	28121
166	14054	28025
167	14139	27941
168	14218	27847
169	14300	27759
170	14381	27669
171	14464	27583
172	14545	27492
173	14622	27397
174	14704	27308
175	14786	27220
176	14867	27131
177	14952	27049
178	15029	26952
179	15113	26867
180	15192	26776
181	15270	26680
182	15354	26597
183	15437	26512
184	15519	26425
185	15596	26330
186	15686	26256
187	15790	26205
188	15875	26122
189	15961	26042
190	16038	25946
191	16125	25867
192	16204	25776
193	16284	25685
194	16374	25611
195	16471	25547
196	16552	25459
197	16629	25364
198	16706	25269
199	16791	25187
200	16868	25092
201	16956	25014
202	17048	24942
203	17134	24861
204	17217	24777
205	17294	24682
206	17376	24596
207	17480	24539
208	17590	24492
209	17697	24439
210	17823	24411
211	17929	24357
212	18019	24279
213	18101	24191
214	18186	24108
215	18263	24013
216	18340	23918
217	18444	23859
218	18533	23780
219	18617	23694
220	18704	23612
221	18797	23539
222	18878	23449
223	18962	23364
224	19050	23283
225	19131	23194
226	19215	23109
227	19292	23015
228	19369	22921
229	19462	22847
230	19548	22763
231	19630	22676
232	19708	22584
233	19790	22497
234	19872	22409
235	19954	22322
236	20041	22240
237	20124	22153
238	20220	22081
239	20298	21989
240	20376	21898
241	20466	21819
242	20556	21740
243	20639	21654
244	20723	21569
245	20804	21481
246	20893	21400
247	20977	21315
248	21066	21235
249	21147	21147
250	21232	21063
251	21309	20971
252	21388	20880
253	21484	20807
254	21565	20719
255	21644	20629
256	21722	20539
257	21804	20452
258	21960	20434
259	22043	20347
260	22124	20259
261	22204	20170
262	22287	20084
263	22363	19992
264	22443	19902
265	22549	19836
266	22655	19770
267	22736	19682
268	22813	19590
269	22898	19506
270	22977	19416
271	23058	19328
272	23139	19240
273	23221	19153
274	23303	19066
275	23381	18976
276	23460	18887
277	23552	18808
278	23635	18721
279	23718	18636
280	23795	18545
281	23875	18457
282	23961	18373
283	24039	18283
284	24124	18198
285	24205	18111
286	24283	18022
287	24363	17934
288	24442	17845
289	24526	17760
290	24606	17672
291	24686	17584
292	24767	17497
293	24848	17411
294	24929	17323
295	25009	17236
296	25086	17146
297	25176	17066
298	25254	16976
299	25331	16887
300	25411	16800
301	25505	16722
302	25586	16635
303	25666	16547
304	25749	16462
305	25847	16387
306	25943	16309
307	26025	16223
308	26102	16134
309	26191	16052
310	26267	15963
311	26345	15874
312	26428	15789
313	26509	15702
314	26591	15617
315	26670	15529
316	26749	15442
317	26833	15357
318	26909	15268
319	26994	15184
320	27071	15096
321	27171	15020
322	27252	14934
323	27330	14846
324	27413	14761
